analysis,seed,label_type,accuracy,f1_macro
permutation_test,42,real,0.9863636363636363,0.986407124346207
permutation_test,42,permuted,0.022727272727272728,0.021233508097522898
permutation_test,,chance_baseline,0.045454545454545456,0.045454545454545456
multi_seed_holdout,42,real,0.9863636363636363,0.986407124346207
multi_seed_holdout,123,real,0.9931818181818182,0.9931432489572025
multi_seed_holdout,777,real,1.0,1.0
multi_seed_holdout,2026,real,0.9863636363636363,0.9863813400398768
multi_seed_holdout,3407,real,0.9977272727272727,0.997725851384388
multi_seed_holdout,mean,summary,0.9927272727272728,0.992731512945535
multi_seed_holdout,std,summary,0.005640760748177669,0.0056261253831229
